s_no,url,level,abp,lbp,aap,lap
74,https://ocrsm.umd.edu/sexual-misconduct,umd,103,14671,1470,189
75,https://academiccatalog.umd.edu/undergraduate/campus-administration-resources-student-services/student-programs-services/office-civil-rights-sexual-misconduct/,umd,45,18890,140,2781
76,https://www.umces.edu/sexual-misconduct-resources,umd,23,167,40,60
77,https://ecr.umbc.edu/gender-discrimination-sexual-misconduct/,umbc,81,5360,280,1156
78,https://gradschool.umbc.edu/students/title-ix-training/,umbc,26,887,50,249
79,https://www.umaryland.edu/titleix/,umb,33,5991,90,1155
80,https://www.umaryland.edu/titleix/policies-and-procedures/,umb,52,8171,210,1346
81,https://www.umaryland.edu/titleix/training/,umb,37,4880,110,940
82,https://www.umaryland.edu/policies-and-procedures/library/administration/policies/vi-160a.php,umb,82,2102,310,414
83,https://www.umaryland.edu/non-discrimination/,umb,33,4323,100,812
84,https://www.umaryland.edu/titleix/resources-and-references/,umb,92,25178,240,489
85,https://ed.sc.gov/policy/federal-education-programs/every-student-succeeds-act-essa-title-ix-part-a-mckinney-vento-homeless-assistance-act/,scstate,67,9507,190,1084
86,https://www.scstatehouse.gov/code/statmast.php,scstate,41,462,110,100
87,https://sccharter.org/title-ix/,scstate,58,2963,210,137
88,https://www.scstatehouse.gov/code/t59c029.php,scstate,135,899,410,218
89,https://ed.sc.gov/jobs/human-resources/title-ix-compliance/,scstate,34,227,60,18
90,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/,usc,38,1302,100,340
91,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/policies_and_procedures/,usc,54,5303,130,212
92,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/training_and_education/index.php,usc,33,1104,90,239
93,https://sc.edu/safety/interpersonal-violence/title-ix/index.php,usc,41,2721,90,811
94,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/resources/resources_for_pregnant_and_parenting_students/index.php,usc,39,1292,90,382
95,https://sc.edu/safety/interpersonal-violence/laws_and_policy/index.php,usc,76,11280,230,588
96,https://www.uscupstate.edu/diversity/title-ix/,usc,32,1519,110,254
97,"https://benedict.edu/title-ix-policy-statement/#:~:text=As%20a%20recipient%20of%20federal,the%20basis%20of%20sex%2Fgender.",bc,75,1872,200,490
98,https://www.benedict.edu/wp-content/uploads/2021/12/BC-Title-IX-Sexual-Misconduct-Policy-Draft-Update-eb09282021-Copy-final-Copy.pdf,bc,88,13299,210,214
99,https://benedict.edu/office-of-admissions-and-recruitment/office-of-financial-aid-and-scholarships/return-of-title-iv-funds-policy/,bc,69,2572,180,705
100,https://benedict.edu/policy-and-procedures-for-handling-complaints-made-against-benedict-college/,bc,76,1870,220,454
101,https://www.ksde.org/Agency/Division-of-Learning-Services/Student-Staff-Training/Prevention-and-Responsive-Culture/Sexual-Harassment-Title-IX,kstate,38,8164,70,875
102,https://www.kckschools.org/federal-programs/title-ix-information,kstate,106,4375,390,152
103,https://oese.ed.gov/state-nonpublic-education-regulation-map/kansas-state-regulations/,kstate,150,368,390,123
104,https://www.kshsaa.org/Public/TitleIX/Main.cfm,kstate,192,267,350,124
105,https://civilrights.ku.edu/,uk,38,1281,270,103
106,https://policy.ku.edu/civil-rights/title-ix-resolution-process,uk,103,15780,580,1474
107,https://policy.ku.edu/office/Office-of-Civil-Rights-and-Title-IX,uk,95,11261,590,925
108,https://www.kumc.edu/office-of-integrity-and-compliance/civil-rights-and-title-ix/title-ix-and-sexual-violence.html,uk,48,2093,230,292
109,https://www.kumc.edu/office-of-integrity-and-compliance/civil-rights-and-title-ix.html,uk,40,1360,190,176
110,https://www.k-state.edu/oie/titleix/,ksu,138,2513,480,466
111,https://www.k-state.edu/oie/education/,ksu,104,1184,420,148
112,https://www.k-state.edu/policies/ppm/3000/3010.html,ksu,83,8001,430,972
113,https://www.k-state.edu/oie/titleix/documents/Title%20IX%20and%20PPM%203010%20FAQs%20--%20website.pdf,ksu,117,12157,230,28
114,https://www.k-state.edu/oie/resources.html,ksu,116,2013,520,298
115,https://www.k-state.edu/care/get-help/rights/,ksu,138,594,430,153
116,https://www.k-state.edu/nondiscrimination/,ksu,58,139,700,9
